movieId,titulo_movie_lens,genres,tag,geral
87,Dunston Checks In (1996),Children|Comedy,,Dunston Checks In  1996  Children Comedy nan
88,Black Sheep (1996),Comedy,,Black Sheep  1996  Comedy nan
89,Nick of Time (1995),Action|Thriller,,Nick of Time  1995  Action Thriller nan
92,Mary Reilly (1996),Drama|Horror|Thriller,Jekyll and Hyde,Mary Reilly  1996  Drama Horror Thriller Jekyll and Hyde
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,,Vampire in Brooklyn  1995  Comedy Horror Romance nan
94,Beautiful Girls (1996),Comedy|Drama|Romance,,Beautiful Girls  1996  Comedy Drama Romance nan
95,Broken Arrow (1996),Action|Adventure|Thriller,,Broken Arrow  1996  Action Adventure Thriller nan
96,In the Bleak Midwinter (1995),Comedy|Drama,theater,In the Bleak Midwinter  1995  Comedy Drama theater
97,"Hate (Haine, La) (1995)",Crime|Drama,,Hate  Haine  La   1995  Crime Drama nan
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,,Heidi Fleiss: Hollywood Madam  1995  Documentary nan
100,City Hall (1996),Drama|Thriller,,City Hall  1996  Drama Thriller nan
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,crime|off-beat comedy|quirky,Bottle Rocket  1996  Adventure Comedy Crime Romance crime off-beat comedy quirky
102,Mr. Wrong (1996),Comedy,,Mr. Wrong  1996  Comedy nan
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,,Unforgettable  1996  Mystery Sci-Fi Thriller nan
104,Happy Gilmore (1996),Comedy,test tag|golf|Adam Sandler,Happy Gilmore  1996  Comedy test tag golf Adam Sandler
105,"Bridges of Madison County, The (1995)",Drama|Romance,,Bridges of Madison County  The  1995  Drama Romance nan
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,,Nobody Loves Me  Keiner liebt mich   1994  Comedy Drama nan
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,muppets,Muppet Treasure Island  1996  Adventure Children Comedy Musical muppets
108,Catwalk (1996),Documentary,,Catwalk  1996  Documentary nan
110,Braveheart (1995),Action|Drama|War,beautiful scenery|epic|historical|inspirational|Medieval|mel gibson|Oscar (Best Cinematography)|revenge|sword fight|Scotland,Braveheart  1995  Action Drama War beautiful scenery epic historical inspirational Medieval mel gibson Oscar  Best Cinematography  revenge sword fight Scotland
111,Taxi Driver (1976),Crime|Drama|Thriller,assassination,Taxi Driver  1976  Crime Drama Thriller assassination
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,,Rumble in the Bronx  Hont faan kui   1995  Action Adventure Comedy Crime nan
113,Before and After (1996),Drama|Mystery,,Before and After  1996  Drama Mystery nan
116,Anne Frank Remembered (1995),Documentary,Holocaust,Anne Frank Remembered  1995  Documentary Holocaust
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,,Young Poisoner's Handbook  The  1995  Crime Drama nan
118,If Lucy Fell (1996),Comedy|Romance,,If Lucy Fell  1996  Comedy Romance nan
119,"Steal Big, Steal Little (1995)",Comedy,,Steal Big  Steal Little  1995  Comedy nan
121,"Boys of St. Vincent, The (1992)",Drama,,Boys of St. Vincent  The  1992  Drama nan
122,Boomerang (1992),Comedy|Romance,dating,Boomerang  1992  Comedy Romance dating
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,,Chungking Express  Chung Hing sam lam   1994  Drama Mystery Romance nan
125,Flirting With Disaster (1996),Comedy,,Flirting With Disaster  1996  Comedy nan
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,,NeverEnding Story III  The  1994  Adventure Children Fantasy nan
128,Jupiter's Wife (1994),Documentary,,Jupiter's Wife  1994  Documentary nan
129,Pie in the Sky (1996),Comedy|Romance,,Pie in the Sky  1996  Comedy Romance nan
132,Jade (1995),Thriller,,Jade  1995  Thriller nan
135,Down Periscope (1996),Comedy,,Down Periscope  1996  Comedy nan
137,Man of the Year (1995),Documentary,,Man of the Year  1995  Documentary nan
140,Up Close and Personal (1996),Drama|Romance,journalism,Up Close and Personal  1996  Drama Romance journalism
141,"Birdcage, The (1996)",Comedy,,Birdcage  The  1996  Comedy nan
144,"Brothers McMullen, The (1995)",Comedy,,Brothers McMullen  The  1995  Comedy nan
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,,Bad Boys  1995  Action Comedy Crime Drama Thriller nan
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,,Amazing Panda Adventure  The  1995  Adventure Children nan
147,"Basketball Diaries, The (1995)",Drama,addiction|heroin|Leonardo DiCaprio|Mark Wahlberg,Basketball Diaries  The  1995  Drama addiction heroin Leonardo DiCaprio Mark Wahlberg
148,"Awfully Big Adventure, An (1995)",Drama,,Awfully Big Adventure  An  1995  Drama nan
149,Amateur (1994),Crime|Drama|Thriller,,Amateur  1994  Crime Drama Thriller nan
150,Apollo 13 (1995),Adventure|Drama|IMAX,moon|NASA|space,Apollo 13  1995  Adventure Drama IMAX moon NASA space
151,Rob Roy (1995),Action|Drama|Romance|War,,Rob Roy  1995  Action Drama Romance War nan
152,"Addiction, The (1995)",Drama|Horror,,Addiction  The  1995  Drama Horror nan
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,superhero|superhero,Batman Forever  1995  Action Adventure Comedy Crime superhero superhero
154,Beauty of the Day (Belle de jour) (1967),Drama,,Beauty of the Day  Belle de jour   1967  Drama nan
155,Beyond Rangoon (1995),Adventure|Drama|War,,Beyond Rangoon  1995  Adventure Drama War nan
156,Blue in the Face (1995),Comedy|Drama,,Blue in the Face  1995  Comedy Drama nan
157,Canadian Bacon (1995),Comedy|War,,Canadian Bacon  1995  Comedy War nan
158,Casper (1995),Adventure|Children,,Casper  1995  Adventure Children nan
159,Clockers (1995),Crime|Drama|Mystery,,Clockers  1995  Crime Drama Mystery nan
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Michael Crichton,Congo  1995  Action Adventure Mystery Sci-Fi Michael Crichton
161,Crimson Tide (1995),Drama|Thriller|War,submarine,Crimson Tide  1995  Drama Thriller War submarine
162,Crumb (1994),Documentary,In Netflix queue,Crumb  1994  Documentary In Netflix queue
163,Desperado (1995),Action|Romance|Western,,Desperado  1995  Action Romance Western nan
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,,Devil in a Blue Dress  1995  Crime Film-Noir Mystery Thriller nan
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,,Die Hard: With a Vengeance  1995  Action Crime Thriller nan
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,,Doom Generation  The  1995  Comedy Crime Drama nan
168,First Knight (1995),Action|Drama|Romance,,First Knight  1995  Action Drama Romance nan
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,,Free Willy 2: The Adventure Home  1995  Adventure Children Drama nan
170,Hackers (1995),Action|Adventure|Crime|Thriller,,Hackers  1995  Action Adventure Crime Thriller nan
171,Jeffrey (1995),Comedy|Drama,,Jeffrey  1995  Comedy Drama nan
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,,Johnny Mnemonic  1995  Action Sci-Fi Thriller nan
173,Judge Dredd (1995),Action|Crime|Sci-Fi,,Judge Dredd  1995  Action Crime Sci-Fi nan
174,Jury Duty (1995),Comedy,,Jury Duty  1995  Comedy nan
175,Kids (1995),Drama,controversial|New York City|Nudity (Full Frontal),Kids  1995  Drama controversial New York City Nudity  Full Frontal 
176,Living in Oblivion (1995),Comedy,,Living in Oblivion  1995  Comedy nan
177,Lord of Illusions (1995),Horror,,Lord of Illusions  1995  Horror nan
178,Love & Human Remains (1993),Comedy|Drama,,Love & Human Remains  1993  Comedy Drama nan
179,Mad Love (1995),Drama|Romance,,Mad Love  1995  Drama Romance nan
180,Mallrats (1995),Comedy|Romance,,Mallrats  1995  Comedy Romance nan
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,,Mighty Morphin Power Rangers: The Movie  1995  Action Children nan
183,Mute Witness (1994),Comedy|Horror|Thriller,,Mute Witness  1994  Comedy Horror Thriller nan
184,Nadja (1994),Drama,,Nadja  1994  Drama nan
185,"Net, The (1995)",Action|Crime|Thriller,computers,Net  The  1995  Action Crime Thriller computers
186,Nine Months (1995),Comedy|Romance,,Nine Months  1995  Comedy Romance nan
187,Party Girl (1995),Comedy,,Party Girl  1995  Comedy nan
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,,Prophecy  The  1995  Fantasy Horror Mystery nan
189,Reckless (1995),Comedy|Fantasy,,Reckless  1995  Comedy Fantasy nan
190,Safe (1995),Thriller,,Safe  1995  Thriller nan
191,"Scarlet Letter, The (1995)",Drama|Romance,,Scarlet Letter  The  1995  Drama Romance nan
193,Showgirls (1995),Drama,,Showgirls  1995  Drama nan
194,Smoke (1995),Comedy|Drama,,Smoke  1995  Comedy Drama nan
195,Something to Talk About (1995),Comedy|Drama|Romance,,Something to Talk About  1995  Comedy Drama Romance nan
196,Species (1995),Horror|Sci-Fi,,Species  1995  Horror Sci-Fi nan
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,,Strange Days  1995  Action Crime Drama Mystery Sci-Fi Thriller nan
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,Made me cry,Umbrellas of Cherbourg  The  Parapluies de Cherbourg  Les   1964  Drama Musical Romance Made me cry
201,Three Wishes (1995),Drama|Fantasy,,Three Wishes  1995  Drama Fantasy nan
202,Total Eclipse (1995),Drama|Romance,,Total Eclipse  1995  Drama Romance nan
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,,To Wong Foo  Thanks for Everything! Julie Newmar  1995  Comedy nan
204,Under Siege 2: Dark Territory (1995),Action,,Under Siege 2: Dark Territory  1995  Action nan
205,Unstrung Heroes (1995),Comedy|Drama,,Unstrung Heroes  1995  Comedy Drama nan
206,Unzipped (1995),Documentary,,Unzipped  1995  Documentary nan
207,"Walk in the Clouds, A (1995)",Drama|Romance,,Walk in the Clouds  A  1995  Drama Romance nan
208,Waterworld (1995),Action|Adventure|Sci-Fi,,Waterworld  1995  Action Adventure Sci-Fi nan
209,White Man's Burden (1995),Drama,,White Man's Burden  1995  Drama nan
210,Wild Bill (1995),Western,,Wild Bill  1995  Western nan
211,"Browning Version, The (1994)",Drama,,Browning Version  The  1994  Drama nan
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,,Bushwhacked  1995  Adventure Comedy Crime Mystery nan
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,,Burnt by the Sun  Utomlyonnye solntsem   1994  Drama nan
214,Before the Rain (Pred dozhdot) (1994),Drama|War,,Before the Rain  Pred dozhdot   1994  Drama War nan
215,Before Sunrise (1995),Drama|Romance,generation X,Before Sunrise  1995  Drama Romance generation X
216,Billy Madison (1995),Comedy,school|Adam Sandler|stop looking at me swan,Billy Madison  1995  Comedy school Adam Sandler stop looking at me swan
217,"Babysitter, The (1995)",Drama|Thriller,,Babysitter  The  1995  Drama Thriller nan
218,Boys on the Side (1995),Comedy|Drama,,Boys on the Side  1995  Comedy Drama nan
219,"Cure, The (1995)",Drama,,Cure  The  1995  Drama nan
220,Castle Freak (1995),Horror,,Castle Freak  1995  Horror nan
222,Circle of Friends (1995),Drama|Romance,Ireland,Circle of Friends  1995  Drama Romance Ireland
223,Clerks (1994),Comedy,cynical|hilarious|independent film|quirky|witty|generation X,Clerks  1994  Comedy cynical hilarious independent film quirky witty generation X
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,mental illness|psychology,Don Juan DeMarco  1995  Comedy Drama Romance mental illness psychology
225,Disclosure (1994),Drama|Thriller,,Disclosure  1994  Drama Thriller nan
227,Drop Zone (1994),Action|Thriller,,Drop Zone  1994  Action Thriller nan
228,Destiny Turns on the Radio (1995),Comedy,,Destiny Turns on the Radio  1995  Comedy nan
229,Death and the Maiden (1994),Drama|Thriller,,Death and the Maiden  1994  Drama Thriller nan
230,Dolores Claiborne (1995),Drama|Thriller,Stephen King,Dolores Claiborne  1995  Drama Thriller Stephen King
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,,Dumb & Dumber  Dumb and Dumber   1994  Adventure Comedy nan
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,In Netflix queue,Eat Drink Man Woman  Yin shi nan nu   1994  Comedy Drama Romance In Netflix queue
233,Exotica (1994),Drama,,Exotica  1994  Drama nan
234,Exit to Eden (1994),Comedy,,Exit to Eden  1994  Comedy nan
235,Ed Wood (1994),Comedy|Drama,movie business,Ed Wood  1994  Comedy Drama movie business
236,French Kiss (1995),Action|Comedy|Romance,,French Kiss  1995  Action Comedy Romance nan
237,Forget Paris (1995),Comedy|Romance,basketball|France|infertility,Forget Paris  1995  Comedy Romance basketball France infertility
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,,Far From Home: The Adventures of Yellow Dog  1995  Adventure Children nan
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,,Goofy Movie  A  1995  Animation Children Comedy Romance nan
240,Hideaway (1995),Thriller,,Hideaway  1995  Thriller nan
241,Fluke (1995),Children|Drama,,Fluke  1995  Children Drama nan
242,Farinelli: il castrato (1994),Drama|Musical,,Farinelli: il castrato  1994  Drama Musical nan
243,Gordy (1995),Children|Comedy|Fantasy,,Gordy  1995  Children Comedy Fantasy nan
246,Hoop Dreams (1994),Documentary,basketball,Hoop Dreams  1994  Documentary basketball
247,Heavenly Creatures (1994),Crime|Drama,Australia,Heavenly Creatures  1994  Crime Drama Australia
248,Houseguest (1994),Comedy,bad|Sinbad,Houseguest  1994  Comedy bad Sinbad
249,Immortal Beloved (1994),Drama|Romance,Beethoven,Immortal Beloved  1994  Drama Romance Beethoven
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,,Heavyweights  Heavy Weights   1995  Children Comedy nan
251,"Hunted, The (1995)",Action,,Hunted  The  1995  Action nan
252,I.Q. (1994),Comedy|Romance,Einstein,I.Q.  1994  Comedy Romance Einstein
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,,Interview with the Vampire: The Vampire Chronicles  1994  Drama Horror nan
254,Jefferson in Paris (1995),Drama,,Jefferson in Paris  1995  Drama nan
255,"Jerky Boys, The (1995)",Comedy,,Jerky Boys  The  1995  Comedy nan
256,Junior (1994),Comedy|Sci-Fi,,Junior  1994  Comedy Sci-Fi nan
257,Just Cause (1995),Mystery|Thriller,court,Just Cause  1995  Mystery Thriller court
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,,Kid in King Arthur's Court  A  1995  Adventure Children Comedy Fantasy Romance nan
259,Kiss of Death (1995),Crime|Drama|Thriller,,Kiss of Death  1995  Crime Drama Thriller nan
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,classic|space action|action|sci-fi|EPIC|great soundtrack|classic sci-fi|engrossing adventure|EPIC|classic|Nerd|classic sci-fi|space action|space epic|oldie but goodie|sci-fi|Star Wars|ROBOTS AND ANDROIDS|space|classic sci-fi|sci-fi|space adventure|Star Wars|darth vader|luke skywalker|space opera,Star Wars: Episode IV - A New Hope  1977  Action Adventure Sci-Fi classic space action action sci-fi EPIC great soundtrack classic sci-fi engrossing adventure EPIC classic Nerd classic sci-fi space action space epic oldie but goodie sci-fi Star Wars ROBOTS AND ANDROIDS space classic sci-fi sci-fi space adventure Star Wars darth vader luke skywalker space opera
261,Little Women (1994),Drama,Louisa May Alcott,Little Women  1994  Drama Louisa May Alcott
262,"Little Princess, A (1995)",Children|Drama,England|Girl Power|India,Little Princess  A  1995  Children Drama England Girl Power India
263,Ladybird Ladybird (1994),Drama,,Ladybird Ladybird  1994  Drama nan
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,,Like Water for Chocolate  Como agua para chocolate   1992  Drama Fantasy Romance nan
266,Legends of the Fall (1994),Drama|Romance|War|Western,,Legends of the Fall  1994  Drama Romance War Western nan
267,Major Payne (1995),Comedy,,Major Payne  1995  Comedy nan
269,My Crazy Life (Mi vida loca) (1993),Drama,,My Crazy Life  Mi vida loca   1993  Drama nan
270,Love Affair (1994),Drama|Romance,,Love Affair  1994  Drama Romance nan
271,Losing Isaiah (1995),Drama,,Losing Isaiah  1995  Drama nan
272,"Madness of King George, The (1994)",Comedy|Drama,England|mental illness,Madness of King George  The  1994  Comedy Drama England mental illness
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,gothic,Mary Shelley's Frankenstein  Frankenstein   1994  Drama Horror Sci-Fi gothic
274,Man of the House (1995),Comedy,,Man of the House  1995  Comedy nan
275,Mixed Nuts (1994),Comedy,,Mixed Nuts  1994  Comedy nan
276,Milk Money (1994),Comedy|Romance,,Milk Money  1994  Comedy Romance nan
277,Miracle on 34th Street (1994),Drama,Christmas,Miracle on 34th Street  1994  Drama Christmas
278,Miami Rhapsody (1995),Comedy,,Miami Rhapsody  1995  Comedy nan
279,My Family (1995),Drama,In Netflix queue,My Family  1995  Drama In Netflix queue
280,Murder in the First (1995),Drama|Thriller,prison,Murder in the First  1995  Drama Thriller prison
281,Nobody's Fool (1994),Comedy|Drama|Romance,,Nobody's Fool  1994  Comedy Drama Romance nan
282,Nell (1994),Drama,disability|twins,Nell  1994  Drama disability twins
283,New Jersey Drive (1995),Crime|Drama,,New Jersey Drive  1995  Crime Drama nan
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,,New York Cop  Nyû Yôku no koppu   1993  Action Crime nan
285,Beyond Bedlam (1993),Drama|Horror,,Beyond Bedlam  1993  Drama Horror nan
287,Nina Takes a Lover (1994),Comedy|Romance,,Nina Takes a Lover  1994  Comedy Romance nan
288,Natural Born Killers (1994),Action|Crime|Thriller,brutality|controversial|dark comedy|psychedelic|satire|stylized,Natural Born Killers  1994  Action Crime Thriller brutality controversial dark comedy psychedelic satire stylized
289,Only You (1994),Comedy|Romance,,Only You  1994  Comedy Romance nan
290,Once Were Warriors (1994),Crime|Drama,In Netflix queue,Once Were Warriors  1994  Crime Drama In Netflix queue
291,Poison Ivy II (1996),Drama|Thriller,,Poison Ivy II  1996  Drama Thriller nan
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,,Outbreak  1995  Action Drama Sci-Fi Thriller nan
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,assassin|Jean Reno|hit men|Action|assassin|assassination|assassins|awkward romance|corruption|crime|disturbing|drama|French|friendship|Gary Oldman|great acting|Guns|hit men|hitman|humorous|imdb top 250|Jean Reno|Lolita theme|loneliness|love story|Luc Besson|Natalie Portman|organized crime|police|police corruption|quirky|sniper|tense|touching|unique,Léon: The Professional  a.k.a. The Professional   Léon   1994  Action Crime Drama Thriller assassin Jean Reno hit men Action assassin assassination assassins awkward romance corruption crime disturbing drama French friendship Gary Oldman great acting Guns hit men hitman humorous imdb top 250 Jean Reno Lolita theme loneliness love story Luc Besson Natalie Portman organized crime police police corruption quirky sniper tense touching unique
