,movieId,titulo_movie_lens,count_ratings
285,327,Tank Girl (1995),34
286,328,Tales from the Crypt Presents: Demon Knight (1995),10
287,329,Star Trek: Generations (1994),108
288,330,Tales from the Hood (1995),6
289,331,Tom & Viv (1994),2
290,332,Village of the Damned (1995),12
291,333,Tommy Boy (1995),50
292,334,Vanya on 42nd Street (1994),5
293,335,Underneath (1995),2
294,336,"Walking Dead, The (1995)",1
295,337,What's Eating Gilbert Grape (1993),77
296,338,Virtuosity (1995),19
297,339,While You Were Sleeping (1995),98
298,340,"War, The (1994)",5
299,341,Double Happiness (1994),2
300,342,Muriel's Wedding (1994),33
301,343,"Baby-Sitters Club, The (1995)",5
302,344,Ace Ventura: Pet Detective (1994),161
303,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",36
304,346,Backbeat (1993),6
305,347,Bitter Moon (1992),6
306,348,Bullets Over Broadway (1994),30
307,349,Clear and Present Danger (1994),110
308,350,"Client, The (1994)",57
309,351,"Corrina, Corrina (1994)",17
310,352,Crooklyn (1994),2
311,353,"Crow, The (1994)",64
312,354,Cobb (1994),6
313,355,"Flintstones, The (1994)",42
314,356,Forrest Gump (1994),329
315,357,Four Weddings and a Funeral (1994),103
316,358,Higher Learning (1995),9
317,359,I Like It Like That (1994),1
318,360,I Love Trouble (1994),8
319,361,It Could Happen to You (1994),17
320,362,"Jungle Book, The (1994)",34
321,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",2
322,364,"Lion King, The (1994)",172
323,365,Little Buddha (1993),4
324,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",12
325,367,"Mask, The (1994)",157
326,368,Maverick (1994),74
327,369,Mrs. Parker and the Vicious Circle (1994),2
328,370,Naked Gun 33 1/3: The Final Insult (1994),58
329,371,"Paper, The (1994)",21
330,372,Reality Bites (1994),21
331,373,Red Rock West (1992),11
332,374,Richie Rich (1994),25
333,376,"River Wild, The (1994)",40
334,377,Speed (1994),171
335,378,Speechless (1994),7
336,379,Timecop (1994),21
337,380,True Lies (1994),178
338,381,When a Man Loves a Woman (1994),11
339,382,Wolf (1994),16
340,383,Wyatt Earp (1994),21
341,384,Bad Company (1995),2
342,385,"Man of No Importance, A (1994)",1
343,386,S.F.W. (1994),1
344,387,"Low Down Dirty Shame, A (1994)",4
345,388,Boys Life (1995),2
346,389,"Colonel Chabert, Le (1994)",2
347,390,Faster Pussycat! Kill! Kill! (1965),5
348,391,Jason's Lyric (1994),1
349,393,Street Fighter (1994),10
350,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),12
351,406,Federal Hill (1994),1
352,407,In the Mouth of Madness (1995),8
353,408,8 Seconds (1994),2
354,409,Above the Rim (1994),1
355,410,Addams Family Values (1993),84
356,412,"Age of Innocence, The (1993)",15
357,413,Airheads (1994),26
358,414,"Air Up There, The (1994)",6
359,415,Another Stakeout (1993),16
360,416,Bad Girls (1994),8
361,417,Barcelona (1994),13
362,418,Being Human (1993),2
363,419,"Beverly Hillbillies, The (1993)",20
364,420,Beverly Hills Cop III (1994),59
365,421,Black Beauty (1994),12
366,422,Blink (1994),5
367,423,Blown Away (1994),10
368,424,Blue Chips (1994),3
369,425,Blue Sky (1994),2
370,426,Body Snatchers (1993),7
371,427,Boxing Helena (1993),12
372,428,"Bronx Tale, A (1993)",18
373,429,Cabin Boy (1994),6
374,430,Calendar Girl (1993),2
375,431,Carlito's Way (1993),42
376,432,City Slickers II: The Legend of Curly's Gold (1994),55
377,433,Clean Slate (1994),8
378,434,Cliffhanger (1993),101
379,435,Coneheads (1993),63
380,436,Color of Night (1994),7
381,437,Cops and Robbersons (1994),9
382,438,"Cowboy Way, The (1994)",7
383,440,Dave (1993),76
384,441,Dazed and Confused (1993),42
385,442,Demolition Man (1993),81
386,444,Even Cowgirls Get the Blues (1993),6
387,445,Fatal Instinct (1993),12
388,446,Farewell My Concubine (Ba wang bie ji) (1993),9
389,448,Fearless (1993),8
390,449,Fear of a Black Hat (1994),1
391,450,With Honors (1994),7
392,451,Flesh and Bone (1993),1
393,452,Widows' Peak (1994),3
394,453,For Love or Money (1993),5
395,454,"Firm, The (1993)",101
396,455,Free Willy (1993),37
397,456,Fresh (1994),4
398,457,"Fugitive, The (1993)",190
399,458,Geronimo: An American Legend (1993),5
400,459,"Getaway, The (1994)",6
401,460,Getting Even with Dad (1994),3
402,461,Go Fish (1994),4
403,464,Hard Target (1993),10
404,466,Hot Shots! Part Deux (1993),60
405,467,Live Nude Girls (1995),1
406,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",22
407,469,"House of the Spirits, The (1993)",5
408,470,House Party 3 (1994),1
409,471,"Hudsucker Proxy, The (1994)",40
410,472,I'll Do Anything (1994),6
411,473,In the Army Now (1994),7
412,474,In the Line of Fire (1993),70
413,475,In the Name of the Father (1993),25
414,476,"Inkwell, The (1994)",1
415,477,What's Love Got to Do with It? (1993),17
416,478,Jimmy Hollywood (1994),1
417,479,Judgment Night (1993),4
418,480,Jurassic Park (1993),238
419,481,Kalifornia (1993),19
420,482,Killing Zoe (1994),8
421,484,Lassie (1994),2
422,485,Last Action Hero (1993),53
423,486,Life with Mikey (1993),3
424,487,Lightning Jack (1994),4
425,488,M. Butterfly (1993),1
426,489,Made in America (1993),11
427,490,Malice (1993),12
428,491,"Man Without a Face, The (1993)",17
429,492,Manhattan Murder Mystery (1993),14
430,493,Menace II Society (1993),12
431,494,Executive Decision (1996),41
432,495,In the Realm of the Senses (Ai no corrida) (1976),1
433,496,What Happened Was... (1994),1
434,497,Much Ado About Nothing (1993),43
435,499,Mr. Wonderful (1993),2
436,500,Mrs. Doubtfire (1993),144
437,501,Naked (1993),6
438,502,"Next Karate Kid, The (1994)",15
439,504,No Escape (1994),2
440,505,North (1994),7
441,506,Orlando (1992),2
442,507,"Perfect World, A (1993)",13
443,508,Philadelphia (1993),66
444,509,"Piano, The (1993)",61
445,510,Poetic Justice (1993),1
446,511,"Program, The (1993)",2
447,512,"Puppet Masters, The (1994)",4
448,513,Radioland Murders (1994),4
449,514,"Ref, The (1994)",18
450,515,"Remains of the Day, The (1993)",24
451,516,Renaissance Man (1994),18
452,517,Rising Sun (1993),9
453,518,"Road to Wellville, The (1994)",4
454,519,RoboCop 3 (1993),21
455,520,Robin Hood: Men in Tights (1993),69
456,521,Romeo Is Bleeding (1993),3
457,522,Romper Stomper (1992),7
458,523,Ruby in Paradise (1993),4
459,524,Rudy (1993),34
460,526,"Savage Nights (Nuits fauves, Les) (1992)",1
461,527,Schindler's List (1993),220
462,528,"Scout, The (1994)",3
463,529,Searching for Bobby Fischer (1993),40
464,531,"Secret Garden, The (1993)",24
465,532,Serial Mom (1994),16
466,533,"Shadow, The (1994)",18
467,534,Shadowlands (1993),14
468,535,Short Cuts (1993),15
469,536,"Simple Twist of Fate, A (1994)",3
470,537,Sirens (1994),12
471,538,Six Degrees of Separation (1993),12
472,539,Sleepless in Seattle (1993),106
473,540,Sliver (1993),18
474,541,Blade Runner (1982),124
475,542,Son in Law (1993),14
476,543,So I Married an Axe Murderer (1993),41
477,544,Striking Distance (1993),8
478,546,Super Mario Bros. (1993),21
479,547,Surviving the Game (1994),2
480,548,Terminal Velocity (1994),6
481,549,Thirty-Two Short Films About Glenn Gould (1993),2
482,550,Threesome (1994),5
483,551,"Nightmare Before Christmas, The (1993)",93
484,552,"Three Musketeers, The (1993)",61
485,553,Tombstone (1993),65
486,555,True Romance (1993),65
487,556,"War Room, The (1993)",6
488,558,"Pagemaster, The (1994)",8
489,562,Welcome to the Dollhouse (1995),23
490,563,Germinal (1993),1
491,564,Chasers (1994),2
492,567,Kika (1993),3
493,568,Bhaji on the Beach (1993),2
494,569,Little Big League (1994),6
495,573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",1
496,574,Spanking the Monkey (1994),4
497,575,"Little Rascals, The (1994)",16
498,577,Andre (1994),4
499,579,"Escort, The (Scorta, La) (1993)",1
500,580,Princess Caraboo (1994),5
501,581,"Celluloid Closet, The (1995)",4
502,583,Dear Diary (Caro Diario) (1994),1
503,585,"Brady Bunch Movie, The (1995)",36
504,586,Home Alone (1990),116
505,587,Ghost (1990),115
506,588,Aladdin (1992),183
507,589,Terminator 2: Judgment Day (1991),224
508,590,Dances with Wolves (1990),164
509,592,Batman (1989),189
510,593,"Silence of the Lambs, The (1991)",279
511,594,Snow White and the Seven Dwarfs (1937),77
512,595,Beauty and the Beast (1991),146
513,596,Pinocchio (1940),60
514,597,Pretty Woman (1990),135
515,599,"Wild Bunch, The (1969)",11
516,600,Love and a .45 (1994),1
517,602,"Great Day in Harlem, A (1994)",1
518,605,One Fine Day (1996),10
519,606,Candyman: Farewell to the Flesh (1995),4
520,608,Fargo (1996),181
521,609,Homeward Bound II: Lost in San Francisco (1996),14
522,610,Heavy Metal (1981),33
523,611,Hellraiser: Bloodline (1996),6
524,612,"Pallbearer, The (1996)",6
525,613,Jane Eyre (1996),8
526,615,Bread and Chocolate (Pane e cioccolata) (1973),1
527,616,"Aristocats, The (1970)",45
528,617,"Flower of My Secret, The (La flor de mi secreto) (1995)",3
529,618,Two Much (1995),1
530,619,Ed (1996),5
531,626,"Thin Line Between Love and Hate, A (1996)",1
532,627,"Last Supper, The (1995)",6
533,628,Primal Fear (1996),35
534,631,All Dogs Go to Heaven 2 (1996),11
535,632,Land and Freedom (Tierra y libertad) (1995),1
536,633,Denise Calls Up (1995),1
537,634,Theodore Rex (1995),4
538,635,"Family Thing, A (1996)",2
539,636,Frisk (1995),1
540,637,Sgt. Bilko (1996),33
541,638,Jack and Sarah (1995),1
542,639,Girl 6 (1996),4
543,640,Diabolique (1996),11
544,645,Nelly & Monsieur Arnaud (1995),2
545,647,Courage Under Fire (1996),29
546,648,Mission: Impossible (1996),162
547,649,Cold Fever (Á köldum klaka) (1995),1
548,650,Moll Flanders (1996),4
549,653,Dragonheart (1996),65
550,656,Eddie (1996),5
551,661,James and the Giant Peach (1996),49
552,662,Fear (1996),7
553,663,Kids in the Hall: Brain Candy (1996),12
554,665,Underground (1995),3
555,667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),8
556,668,Song of the Little Road (Pather Panchali) (1955),2
557,670,"World of Apu, The (Apur Sansar) (1959)",2
558,671,Mystery Science Theater 3000: The Movie (1996),36
559,673,Space Jam (1996),53
560,674,Barbarella (1968),9
561,678,Some Folks Call It a Sling Blade (1993),9
562,679,"Run of the Country, The (1995)",1
563,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",4
564,685,It's My Party (1996),2
565,688,Operation Dumbo Drop (1995),9
566,691,Mrs. Winterbourne (1996),3
567,692,Solo (1996),4
568,694,"Substitute, The (1996)",11
569,695,True Crime (1996),2
570,697,Feeling Minnesota (1996),5
571,698,Delta of Venus (1995),1
572,700,Angus (1995),7
573,703,Boys (1996),2
574,704,"Quest, The (1996)",7
575,706,Sunset Park (1996),1
576,707,Mulholland Falls (1996),21
577,708,"Truth About Cats & Dogs, The (1996)",58
578,709,Oliver & Company (1988),11
579,710,Celtic Pride (1996),8
580,711,Flipper (1996),10
581,714,Dead Man (1995),15
582,715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",3
583,718,"Visitors, The (Visiteurs, Les) (1993)",4
584,719,Multiplicity (1996),35
585,720,Wallace & Gromit: The Best of Aardman Animation (1996),27
586,722,"Haunted World of Edward D. Wood Jr., The (1996)",1
587,724,"Craft, The (1996)",31
588,725,"Great White Hype, The (1996)",5
589,726,Last Dance (1996),1
590,728,Cold Comfort Farm (1995),10
591,731,Heaven's Prisoners (1996),3
592,733,"Rock, The (1996)",121
593,735,Cemetery Man (Dellamorte Dellamore) (1994),7
594,736,Twister (1996),123
595,737,Barb Wire (1996),20
596,741,Ghost in the Shell (Kôkaku kidôtai) (1995),27
597,742,Thinner (1996),11
598,743,Spy Hard (1996),29
599,745,Wallace & Gromit: A Close Shave (1995),48
600,747,"Stupids, The (1996)",3
601,748,"Arrival, The (1996)",22
602,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),97
603,757,Ashes of Time (Dung che sai duk) (1994),1
604,759,Maya Lin: A Strong Clear Vision (1994),2
605,760,Stalingrad (1993),2
606,761,"Phantom, The (1996)",19
607,762,Striptease (1996),41
608,764,Heavy (1995),2
609,765,Jack (1996),19
610,766,I Shot Andy Warhol (1996),4
611,773,Touki Bouki (1973),1
612,775,Spirits of the Dead (1968),1
613,778,Trainspotting (1996),102
614,779,'Til There Was You (1997),2
615,780,Independence Day (a.k.a. ID4) (1996),202
616,781,Stealing Beauty (1996),7
617,782,"Fan, The (1996)",8
618,783,"Hunchback of Notre Dame, The (1996)",47
619,784,"Cable Guy, The (1996)",54
620,785,Kingpin (1996),42
621,786,Eraser (1996),64
622,788,"Nutty Professor, The (1996)",82
623,790,"Unforgettable Summer, An (Un été inoubliable) (1994)",1
624,791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",1
625,795,Somebody to Love (1994),2
626,798,Daylight (1996),12
627,799,"Frighteners, The (1996)",23
628,800,Lone Star (1996),19
629,801,Harriet the Spy (1996),11
630,802,Phenomenon (1996),46
631,803,Walking and Talking (1996),1
632,804,She's the One (1996),8
633,805,"Time to Kill, A (1996)",35
634,806,American Buffalo (1996),1
635,808,Alaska (1996),2
636,809,Fled (1996),9
637,810,Kazaam (1996),12
638,813,Larger Than Life (1996),5
639,818,"Very Brady Sequel, A (1996)",10
640,823,"Collector, The (La collectionneuse) (1967)",1
641,824,Kaspar Hauser (1993),1
642,828,"Adventures of Pinocchio, The (1996)",6
643,829,Joe's Apartment (1996),9
644,830,"First Wives Club, The (1996)",21
645,832,Ransom (1996),37
646,833,High School High (1996),6
647,835,Foxfire (1996),3
648,836,Chain Reaction (1996),17
649,837,Matilda (1996),33
650,838,Emma (1996),30
651,839,"Crow: City of Angels, The (1996)",15
652,840,House Arrest (1996),4
653,841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",2
654,842,Tales from the Crypt Presents: Bordello of Blood (1996),12
655,848,"Spitfire Grill, The (1996)",7
656,849,Escape from L.A. (1996),44
657,851,Basquiat (1996),6
658,852,Tin Cup (1996),43
659,858,"Godfather, The (1972)",192
660,861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),9
661,866,Bound (1996),23
662,867,Carpool (1996),2
663,869,Kansas City (1996),3
664,870,Gone Fishin' (1997),2
665,875,Nothing to Lose (1994),1
666,876,Supercop 2 (Project S) (Chao ji ji hua) (1993),1
667,879,"Relic, The (1997)",4
668,880,"Island of Dr. Moreau, The (1996)",27
669,881,First Kid (1996),5
670,882,"Trigger Effect, The (1996)",1
671,885,Bogus (1996),2
672,886,Bulletproof (1996),6
673,888,Land Before Time III: The Time of the Great Giving (1995),3
674,889,1-900 (06) (1994),1
675,891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),5
676,892,Twelfth Night (1996),13
677,893,Mother Night (1996),3
678,896,Wild Reeds (Les roseaux sauvages) (1994),2
679,897,For Whom the Bell Tolls (1943),2
680,898,"Philadelphia Story, The (1940)",29
681,899,Singin' in the Rain (1952),47
682,900,"American in Paris, An (1951)",12
683,901,Funny Face (1957),7
684,902,Breakfast at Tiffany's (1961),36
685,903,Vertigo (1958),60
686,904,Rear Window (1954),84
687,905,It Happened One Night (1934),14
688,906,Gaslight (1944),7
689,907,"Gay Divorcee, The (1934)",2
690,908,North by Northwest (1959),57
691,909,"Apartment, The (1960)",27
692,910,Some Like It Hot (1959),50
693,911,Charade (1963),13
694,912,Casablanca (1942),100
695,913,"Maltese Falcon, The (1941)",44
696,914,My Fair Lady (1964),35
697,915,Sabrina (1954),30
698,916,Roman Holiday (1953),26
699,917,"Little Princess, The (1939)",2
700,918,Meet Me in St. Louis (1944),10
701,919,"Wizard of Oz, The (1939)",92
702,920,Gone with the Wind (1939),45
703,921,My Favorite Year (1982),9
704,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),27
705,923,Citizen Kane (1941),69
706,924,2001: A Space Odyssey (1968),109
707,926,All About Eve (1950),24
708,927,"Women, The (1939)",3
709,928,Rebecca (1940),18
710,929,Foreign Correspondent (1940),1
711,930,Notorious (1946),20
712,931,Spellbound (1945),9
713,932,"Affair to Remember, An (1957)",8
714,933,To Catch a Thief (1955),23
715,934,Father of the Bride (1950),12
716,935,"Band Wagon, The (1953)",3
717,936,Ninotchka (1939),6
718,937,Love in the Afternoon (1957),2
719,938,Gigi (1958),6
720,940,"Adventures of Robin Hood, The (1938)",8
721,941,"Mark of Zorro, The (1940)",2
722,942,Laura (1944),6
723,943,"Ghost and Mrs. Muir, The (1947)",7
724,944,Lost Horizon (1937),3
725,945,Top Hat (1935),7
