userId,porcentagem_coberta,filmes_apareceram,filmes_nao_apareceram
37,16.67,[165],"[231, 457, 590, 593, 150]"
38,11.11,[110],"[551, 11, 300, 590, 527, 50, 246, 318]"
39,22.73,"[260, 296, 1196, 1198, 858]","[1248, 1729, 2529, 610, 3911, 745, 1610, 2571, 2987, 1197, 1258, 1584, 50, 2997, 1270, 2391, 3000]"
40,28.57,"[1, 203, 173, 110, 371, 317]","[609, 610, 327, 265, 266, 107, 685, 205, 431, 272, 17, 111, 21, 440, 318]"
41,30.0,"[7361, 4226, 296, 128360, 5995, 7438, 2959, 66097, 67255]","[6016, 46723, 4235, 6287, 2712, 89759, 116897, 293, 2858, 61240, 1721, 4027, 96829, 92259, 357, 1258, 1259, 46578, 118900, 8949, 49530]"
42,15.38,"[1722, 260, 2371, 3448, 10, 1466, 2000, 150, 1270, 3256, 3098, 2683]","[509, 1027, 3, 1673, 11, 1036, 144, 2194, 3100, 4509, 2335, 1060, 4516, 1191, 1704, 3752, 3753, 3755, 1580, 2605, 1961, 3120, 2352, 1968, 1457, 4022, 3257, 2490, 3259, 4027, 1597, 4541, 2497, 4034, 2115, 4293, 2502, 1608, 2763, 590, 593, 2771, 468, 597, 2906, 1246, 4321, 2146, 4322, 1124, 2915, 356, 1127, 2791, 2918, 364, 110, 2671, 1265, 1393, 3441, 381, 3450, 507, 252, 253]"
43,15.62,"[1356, 592, 661, 317, 253]","[256, 1, 3, 5, 519, 520, 648, 532, 158, 161, 165, 47, 48, 432, 434, 435, 57, 316, 318, 711, 590, 1105, 594, 355, 356, 362, 238]"
44,11.11,[852],"[737, 36, 805, 1639, 1517, 1552, 18, 94]"
45,24.69,"[1, 260, 2311, 6539, 2959, 19, 2083, 292, 2087, 296, 1196, 2096, 588, 3793, 4306, 4963, 5481, 107, 1136, 1407]","[1921, 1282, 1923, 7173, 1029, 6, 2694, 1033, 778, 1035, 2700, 51080, 33679, 784, 2324, 1431, 1688, 2329, 5500, 1573, 552, 1704, 3752, 3753, 1961, 2987, 1584, 3253, 3254, 1591, 50872, 1721, 2997, 3510, 4034, 2504, 4299, 589, 3534, 3536, 2771, 1246, 4958, 2528, 1127, 2791, 6377, 1258, 364, 2797, 110, 4974, 112, 367, 368, 2541, 1396, 3196, 765, 5502, 2687]"
46,11.11,[32],"[1, 454, 457, 266, 236, 50, 434, 253]"
47,16.67,"[63082, 318]","[72641, 356, 5669, 3844, 391, 112804, 140715, 69712, 5108, 117881]"
48,33.33,"[1690, 2115, 5903]","[2081, 1320, 653, 48, 8371, 5882]"
49,0.0,[],"[5218, 356, 6377, 110, 47099, 168252, 318]"
50,25.0,"[296, 7748, 541]","[2019, 7396, 111, 1136, 1199, 1201, 2160, 7700, 1274]"
51,14.29,"[260, 1479, 2951, 2762, 1999, 1200, 1201, 593, 1373]","[1272, 5505, 4865, 2, 3, 7, 2183, 1674, 2194, 924, 2978, 3363, 4002, 34338, 8874, 1196, 4014, 56367, 3763, 2615, 5816, 953, 316, 3388, 5568, 4034, 2374, 2375, 2248, 589, 8784, 849, 339, 1748, 2391, 7000, 6873, 3421, 2015, 610, 3683, 3814, 2664, 1257, 4713, 7147, 52973, 1391, 2033, 54001, 1267, 4855, 1784, 3070]"
52,19.44,"[260, 54503, 5418, 52973, 54286, 74458, 76093]","[46976, 8961, 1923, 63113, 112138, 1784, 150, 57368, 30749, 44191, 293, 5669, 110501, 1704, 96811, 73017, 58559, 57669, 134853, 5064, 31696, 134368, 63082, 64620, 134130, 49651, 49272, 44665, 49530]"
53,0.0,[],"[1125, 1256, 203, 1100, 249, 381]"
55,25.0,[2542],"[1275, 1293, 54286]"
56,11.11,[19],"[225, 292, 231, 457, 10, 11, 364, 380]"
57,26.39,"[1, 260, 1284, 2311, 2571, 908, 1429, 2081, 2087, 942, 1200, 1201, 1080, 3256, 1223, 329, 3030, 1376, 3681]","[1283, 1285, 1670, 3334, 778, 781, 911, 912, 1939, 3479, 32, 1953, 1954, 3494, 940, 3500, 50, 1204, 2102, 951, 2490, 3643, 457, 1226, 2761, 2762, 1101, 592, 593, 594, 1234, 2770, 3671, 3032, 480, 2529, 3044, 1254, 1127, 1256, 2921, 2922, 235, 1643, 3175, 494, 750, 1391, 1265, 1653, 2935, 2297, 2300]"
58,14.29,"[508, 589, 277]","[480, 161, 261, 5, 7, 165, 265, 327, 364, 333, 367, 368, 497, 594, 595, 21, 150, 318]"
59,18.52,"[1610, 2028, 1617, 913, 924]","[2944, 3461, 3462, 647, 648, 3471, 922, 1183, 1953, 1188, 1573, 2726, 41, 2763, 1233, 1244, 733, 1247, 2020, 105, 111, 1151]"
60,16.67,[3424],"[6016, 362, 527, 318, 58559]"
61,54.55,"[32, 4993, 4226, 4878, 16, 50]","[1090, 1201, 30707, 27831, 1208]"
62,47.62,"[166528, 4993, 2, 48516, 53125, 2571, 527, 89745, 6934, 122912, 136864, 122916, 122918, 38061, 103341, 47, 109487, 5816, 73017, 1210, 8636, 116797, 58559, 8641, 1221, 2124, 593, 164179, 112852, 136020, 116823, 103772, 41566, 4963, 114662, 40815, 7153, 52722, 139385, 5630]","[97921, 48385, 3969, 6, 166534, 48394, 56587, 5903, 1682, 89492, 67734, 2329, 116897, 72998, 1704, 83369, 1203, 96821, 56757, 81845, 84152, 108729, 1721, 104374, 96829, 109374, 64957, 71106, 175303, 30793, 586, 32587, 64969, 113741, 31696, 8914, 176601, 88163, 7143, 3948, 3949, 4973, 176371, 52604]"
63,31.11,"[1, 108932, 85414, 3751, 5418, 6539, 31658, 588, 1198, 86290, 53972, 110102, 51255, 92535]","[27904, 54272, 1282, 2692, 527, 912, 913, 5010, 111759, 3481, 2329, 47, 1201, 50, 1202, 81845, 953, 32587, 6350, 3535, 92494, 68954, 5218, 6502, 69481, 1262, 367, 2542, 71535, 95858, 1270]"
64,18.07,"[4993, 357, 1096, 42632, 8874, 1263, 16, 2959, 7153, 2324, 4980, 8950, 1208, 858, 2683]","[1, 6659, 2692, 6, 31878, 1673, 4235, 6539, 908, 8464, 1682, 33683, 4246, 919, 2329, 3481, 3994, 4380, 1947, 3996, 2080, 4002, 1961, 3114, 3499, 6188, 8622, 1967, 2355, 1204, 6711, 1207, 8376, 2871, 1345, 1092, 1348, 1094, 6214, 5445, 5956, 587, 588, 589, 2124, 3147, 3148, 1228, 32587, 1358, 8917, 2140, 2908, 3421, 2657, 1250, 231, 1641, 364, 365, 111, 5617, 46578, 4979, 7160, 7162, 253, 5502]"
65,44.44,"[109487, 91542, 318, 527]","[36529, 97752, 33660, 1246, 44191]"
66,16.0,"[4993, 2019, 1284, 805, 8874, 1200, 4306, 1080, 6874, 3098, 2683, 1240]","[3072, 1, 3074, 6786, 5, 903, 2312, 2951, 7048, 2700, 2956, 6287, 529, 18, 4886, 535, 282, 7069, 541, 799, 5023, 1704, 1449, 5548, 1197, 1968, 1073, 1201, 6832, 7090, 1079, 7482, 4027, 6333, 3262, 7493, 5574, 3271, 1224, 3911, 208, 8784, 1748, 2648, 1242, 1500, 8798, 7647, 224, 2401, 3809, 4322, 2020, 2918, 1769, 6377, 2288, 4465, 1266, 5617, 3444, 1275, 1407]"
67,55.56,"[296, 2571, 2959, 27193, 68157]","[318, 2858, 293, 8605]"
68,18.87,"[260, 1291, 89745, 69524, 60069, 3623, 5418, 7346, 1722, 8636, 168252, 7360, 5952, 116823, 26712, 3552, 5349, 3948, 54001, 26614]","[6, 520, 10, 11, 6155, 81932, 527, 55830, 3101, 2081, 67618, 51255, 6711, 68157, 590, 8784, 56949, 44665, 97913, 69757, 4226, 95875, 4239, 4246, 69784, 44709, 44199, 1704, 3253, 3254, 67255, 50872, 83134, 5313, 7361, 2763, 6863, 208, 4816, 2791, 88810, 53996, 34542, 1777, 1278, 266, 4886, 117529, 4890, 6939, 79132, 72489, 2858, 3911, 72011, 3916, 96079, 79702, 858, 47970, 119145, 5995, 78703, 1393, 2423, 47999, 46976, 912, 89492, 920, 2478, 2491, 56251, 8641, 72641, 51662, 39381, 2006, 27611, 62434, 2028, 62956, 54259, 81910, 3578, 35836]"
69,38.46,"[260, 1193, 3793, 3994, 924]","[296, 2476, 1101, 4880, 50, 3827, 1721, 1917]"
70,0.0,[],"[1272, 36, 1959, 1288, 1097, 1193, 1962, 3468, 1293, 55820, 63082, 1968, 3730, 1172, 150, 3543, 246, 69757]"
71,50.0,"[801, 802, 788]","[62, 1, 86]"
72,25.0,"[32, 1210, 589]","[1216, 457, 2634, 2858, 4973, 1198, 527, 47, 50]"
73,41.67,"[127202, 103141, 68358, 112138, 6539, 91500, 102445, 89745, 3793, 59315, 112852, 6874, 45499, 924, 68319]","[1, 3969, 60684, 89492, 52245, 6936, 44193, 78499, 45221, 1193, 112556, 51255, 134853, 80463, 102481, 51540, 3671, 68954, 134368, 79592, 59258]"
74,13.33,"[6016, 1252, 4103, 903, 858, 6235]","[6787, 48516, 8838, 41863, 6791, 48394, 3083, 47629, 8207, 39183, 3089, 923, 3996, 2076, 55069, 1193, 2300, 1206, 1208, 5304, 58, 5434, 57147, 194, 6852, 3019, 55118, 56782, 5341, 1251, 6244, 8804, 52967, 3949, 111, 1263, 2160, 58103, 39292]"
75,41.67,"[260, 8360, 7153, 1240, 1214]","[8961, 2467, 168, 1234, 3034, 541, 2078]"
76,66.67,"[72129, 260, 296, 2762, 2571, 33004, 33493, 1213, 74458, 68157]","[288, 2502, 31410, 1206, 1208]"
77,50.0,"[5952, 1196, 260]","[5816, 6539, 1198]"
78,55.56,"[1198, 1270, 1240, 3868, 3869]","[296, 1, 8528, 150]"
79,16.67,"[1221, 2571, 1189]","[3425, 1954, 3266, 164, 1220, 6, 1127, 1191, 1222, 1610, 2692, 2916, 1912, 246, 3576]"
80,40.43,"[34048, 4226, 48516, 53000, 2571, 5388, 7438, 2959, 32, 72998, 4776, 50, 59315, 1221, 96079, 74458, 6365, 52604, 89470]","[33794, 103688, 48394, 34319, 7445, 150, 1302, 96917, 90405, 8361, 6059, 6323, 96691, 81591, 80831, 58559, 2763, 103249, 51935, 5349, 59369, 1258, 91500, 5103, 4720, 71535, 82041, 47610]"
81,66.67,"[32, 316]",[329]
82,41.67,"[4993, 1923, 6564, 1573, 1036, 2701, 6156, 1580, 145, 4084]","[5218, 163, 6595, 2700, 780, 5900, 4015, 110, 4989, 4018, 2683, 733, 6014, 6687]"
83,20.0,"[1282, 79132, 4226]","[318, 356, 27397, 72998, 1258, 4973, 110, 7669, 4310, 40629, 68954, 1246]"
84,15.69,"[898, 1219, 6, 1210, 11, 628, 920, 922]","[1280, 1028, 647, 1288, 265, 266, 1035, 14, 272, 919, 1304, 1307, 412, 1186, 1189, 1193, 52, 55, 955, 62, 1343, 1217, 195, 324, 838, 1101, 334, 1103, 1104, 214, 342, 858, 1246, 223, 608, 1247, 1258, 508, 381, 500, 377, 1276, 509]"
85,11.11,[1357],"[1730, 515, 1446, 1449, 1747, 53, 1719, 314]"
86,25.0,"[2762, 4993, 33794, 7361]","[1, 4963, 260, 165, 1097, 2858, 5418, 1196, 33679, 2805, 95510, 1210]"
87,0.0,[],"[262, 4973, 5618, 5971, 531, 671]"
88,66.67,"[5952, 5989, 5418, 3275, 16, 50, 8950, 79132, 68157, 44191]","[74795, 2542, 46578, 3476, 223]"
89,4.0,"[73042, 8372, 78637]","[898, 164226, 78469, 34312, 126088, 6156, 140561, 91666, 105746, 130452, 182293, 3991, 182297, 5529, 150554, 78620, 46105, 25887, 84512, 136355, 33830, 96935, 136359, 111146, 104875, 146986, 85295, 67888, 44851, 50999, 50872, 68793, 136503, 132800, 153408, 33090, 105540, 26183, 141513, 129354, 181065, 4300, 84944, 116817, 147410, 130518, 91355, 51167, 96608, 95843, 113252, 164707, 104, 44777, 141928, 133867, 3948, 120813, 750, 118894, 164200, 126577, 119155, 72692, 5621, 124404, 133879, 156025, 91386, 146684, 72701, 66943]"
90,16.67,"[892, 260]","[7, 14, 17, 562, 818, 116, 1137, 984, 1144, 1183]"
91,22.22,"[5952, 1, 4993, 163, 7360, 2628, 5349, 6242, 3018, 1196, 1261, 7438, 16, 6807, 1213, 1214]","[1408, 2944, 1527, 2692, 8581, 6, 648, 3081, 1036, 2700, 3471, 912, 3727, 4626, 5903, 1148, 923, 3996, 3868, 1954, 6820, 4645, 1193, 1321, 172, 5165, 1967, 8501, 1974, 2871, 1337, 2174, 1215, 1347, 457, 1610, 3917, 464, 7387, 606, 480, 1249, 610, 4448, 2916, 3300, 3429, 6755, 1258, 8426, 111, 2160, 2288, 3703, 3708, 3070]"
92,0.0,[],"[3168, 837, 107, 51662, 1015, 35836]"
93,18.52,"[2, 258, 168, 1562, 1917]","[10, 15, 1552, 1784, 1049, 1580, 173, 558, 2105, 1097, 588, 590, 849, 2396, 357, 362, 367, 2161, 1779, 2167, 2424, 2431]"
94,50.0,"[32, 329, 364]","[457, 2, 34]"
95,23.81,"[32, 2021, 2023, 2571, 1196, 589, 2640, 1240, 8636, 541]","[6016, 2692, 4235, 6796, 5015, 1175, 25, 29, 4126, 3361, 5027, 4262, 5418, 1584, 8633, 5952, 5956, 5445, 1094, 8644, 1228, 6863, 1617, 5464, 3033, 6873, 1247, 608, 2028, 4979, 1653, 3071]"
96,16.67,"[3256, 50, 1198]","[480, 1, 34, 1188, 454, 1097, 1610, 1387, 3418, 1617, 434, 2289, 2353, 2294, 3578]"
97,11.11,[3793],"[4386, 3717, 3623, 4367, 593, 4306, 377, 858]"
98,33.33,"[122912, 1, 177765, 1258, 187541, 56152, 81564]","[4995, 1219, 5444, 55267, 356, 1704, 187593, 53993, 593, 5618, 81845, 81847, 117176, 116797]"
99,16.67,"[293, 22]","[416, 225, 292, 231, 10, 555, 236, 23, 282, 380]"
100,12.12,"[1777, 539, 237, 2262]","[899, 1028, 261, 648, 1290, 11, 1035, 1678, 16, 17, 1680, 4246, 2329, 537, 3098, 1307, 934, 6183, 6059, 3244, 3259, 4161, 838, 4308, 6377, 234, 2291, 508, 1278]"
101,8.33,[2762],"[3203, 1093, 2599, 2600, 233, 2858, 3219, 2580, 3285, 2908, 223]"
102,33.33,"[474, 47]","[457, 3, 454, 223]"
103,28.0,"[4226, 33794, 53125, 61323, 2959, 410, 1179, 79132, 99114, 6957, 73017, 1089, 1228, 1230, 3668, 60756, 1244, 608, 37729, 2411, 2423]","[6016, 1, 2, 1025, 1028, 5, 4993, 34437, 1291, 1293, 2194, 5010, 89492, 661, 148626, 1688, 1693, 1704, 1193, 6440, 140715, 89774, 1968, 4019, 2997, 2231, 50872, 4027, 7361, 1348, 2501, 5956, 1994, 3535, 55247, 337, 596, 96728, 62553, 3034, 3552, 134881, 356, 104, 2028, 4973, 110, 111, 7153, 2291, 1012, 79091, 105844, 89470]"
104,30.77,"[1569, 39, 3175, 588, 47629, 8368, 1136, 4306, 1022, 81847, 3034, 1566]","[8961, 5380, 2572, 914, 2581, 89753, 539, 31, 56367, 89904, 5299, 6579, 594, 4308, 8533, 6367, 4447, 1380, 105, 6377, 56171, 60397, 46578, 3060, 2424, 5500, 47997]"
105,12.5,"[53519, 16, 150548, 6934, 91542, 79132, 8360, 73017, 5952, 1219, 1221, 53322, 86347, 4306, 69844, 6874, 6365, 65514, 56174, 49278, 1407]","[5120, 8197, 6, 102407, 3592, 111622, 91658, 36363, 81932, 97304, 134170, 172577, 3623, 134184, 172583, 3629, 47, 5679, 112183, 163386, 116797, 101962, 145994, 2131, 74324, 163925, 63062, 92259, 86628, 50794, 63082, 134252, 146028, 95858, 49272, 105593, 27773, 69757, 26237, 3198, 97921, 70286, 95377, 120466, 7317, 143511, 73881, 27803, 120478, 7327, 116897, 4262, 27815, 4776, 1193, 1198, 1199, 4270, 36529, 7347, 4788, 67255, 84152, 116411, 6333, 1214, 53953, 714, 2762, 3275, 32460, 6350, 3285, 151769, 1247, 101088, 26340, 171749, 1258, 1259, 26347, 750, 79091, 8957, 8958, 4865, 140038, 778, 8970, 34072, 2329, 2843, 6942, 173351, 2858, 173355, 2351, 120625, 306, 307, 308, 163645, 5956, 175431, 1354, 32587, 3916, 175435, 5971, 83803, 8033, 3949, 3967, 62849, 147330, 112006, 45447, 107408, 107410, 915, 107412, 5014, 922, 923, 130970, 130976, 5026, 1446, 95654, 104879, 56757, 178613, 45499, 31685, 45517, 56782, 104913, 97752, 173535, 64993, 79333, 86504, 140265, 129514, 5617, 5618, 141810]"
106,44.44,"[45722, 2571, 53125, 88125]","[97938, 99636, 2617, 47099, 318]"
107,11.11,[160],"[1, 2, 161, 5, 590, 432, 150, 380]"
108,0.0,[],"[4992, 6049, 5380, 5349, 1097, 3978, 4975, 4976, 5391, 82, 3795, 1204, 1079, 2585, 156, 25]"
109,22.22,"[16, 555]","[288, 553, 11, 14, 175, 592, 249]"
110,44.44,"[296, 4881, 1276, 47]","[1222, 3949, 3629, 111, 1208]"
111,23.08,"[8641, 157699, 93443, 4963, 167018, 3275, 2124, 99114, 81229, 81834, 157296, 140715, 115149, 49396, 58998, 122904, 104218, 106782]","[122882, 4995, 49286, 59143, 128520, 45447, 6155, 48780, 2701, 168846, 16, 145, 128914, 91542, 85022, 2718, 170399, 155812, 100390, 39, 122918, 162344, 180265, 2858, 6188, 3882, 113453, 161580, 74154, 91323, 166461, 58559, 65088, 1856, 837, 64839, 176329, 719, 8528, 112852, 142422, 130520, 166492, 104925, 144606, 100194, 179427, 44004, 3301, 8807, 1895, 72167, 161131, 6003, 40819, 170357, 71668, 63479, 1020, 4989]"
112,38.46,"[260, 6, 109487, 1270, 1210]","[288, 4993, 5952, 1198, 16, 7153, 19, 253]"
113,17.24,"[3296, 1569, 1955, 1230, 3675]","[260, 2184, 1944, 2331, 1564, 4126, 3359, 1183, 932, 933, 1193, 2475, 943, 3251, 838, 1357, 3668, 597, 858, 222, 3551, 111, 4083, 1912]"
114,25.0,[4896],"[3147, 141718, 2291]"
115,29.17,"[32, 196, 3273, 3785, 588, 1200, 2804]","[3264, 2273, 2148, 3301, 1222, 487, 3753, 553, 1610, 1580, 2321, 1617, 2867, 3793, 21, 1208, 2841]"
116,8.33,[2406],"[160, 161, 736, 2724, 1380, 1387, 2605, 590, 339, 597, 1339]"
117,22.22,"[586, 11, 588, 783]","[224, 480, 7, 296, 745, 491, 300, 141, 587, 719, 497, 21, 150, 318]"
118,0.0,[],"[296, 1961, 590, 527, 1810, 1625]"
119,24.07,"[69122, 4995, 48516, 293, 48774, 60069, 88744, 91529, 99114, 59369, 33615, 49272, 106782]","[131714, 157699, 59784, 10, 6539, 70286, 4367, 4369, 5010, 148626, 101142, 142488, 117533, 106918, 112552, 170, 1580, 81845, 1092, 31685, 134853, 5064, 3147, 3275, 32587, 81229, 80463, 102481, 68954, 89087, 112868, 114662, 6377, 6378, 119145, 135532, 1270, 4344, 106491, 3452, 117887]"
120,33.33,[260],"[608, 5]"
121,28.57,"[11, 6]","[288, 1, 296, 780, 237]"
122,29.76,"[78209, 260, 27660, 4886, 117529, 106782, 32, 292, 60069, 99114, 4148, 1080, 1208, 1210, 1213, 1732, 86347, 55247, 592, 54995, 2012, 86377, 1270, 49272, 139385]","[2, 69122, 2692, 34437, 48774, 4873, 4874, 48780, 41997, 68237, 60684, 93840, 3089, 1682, 39183, 107406, 2710, 101142, 134170, 923, 2076, 288, 59387, 106920, 5673, 3114, 555, 3499, 47, 4016, 1073, 5810, 86833, 27706, 4027, 116799, 1729, 93510, 2761, 3020, 589, 7373, 3535, 144976, 8917, 94677, 3671, 68954, 7387, 76251, 5989, 55269, 101864, 119145, 7022, 2160, 1265, 77561, 1275]"
123,33.33,"[260, 296, 47, 89745, 68157]","[143458, 44199, 4776, 68554, 115569, 116797, 4886, 91542, 69306, 96829]"
124,41.67,"[4226, 1092, 1196, 1210, 2683]","[1, 4995, 5608, 1961, 175, 50, 2329]"
125,19.44,"[110882, 53125, 1221, 42632, 128360, 103341, 4878, 2959, 93840, 52973, 7254, 1240, 76093, 1215]","[2, 4995, 111113, 3083, 27022, 70286, 142222, 2321, 97938, 100882, 152081, 152083, 60950, 92694, 152091, 115617, 116897, 44195, 72998, 60072, 555, 44974, 54190, 161582, 161966, 9010, 101112, 1844, 159415, 26680, 168250, 87869, 96829, 86721, 88129, 93510, 168266, 589, 208, 593, 75985, 2387, 60756, 142422, 97752, 68954, 7008, 115680, 127202, 3052, 128620, 110, 7022, 67695, 4979, 171763, 142456, 110330]"
126,0.0,[],"[110, 47, 367, 150, 377, 380]"
127,0.0,[],"[913, 910, 55276, 1276]"
128,44.44,"[1136, 926, 260, 1198]","[935, 1196, 110, 593, 923]"
129,30.0,"[4993, 45186, 3745, 31658, 1196, 7438, 3793, 7153, 6333]","[33166, 5010, 44191, 2858, 1197, 2105, 2890, 6218, 32587, 6093, 1101, 208, 41566, 4963, 2916, 7143, 2028, 110, 239, 3698, 1907]"
130,0.0,[],"[110, 339, 150, 344, 153, 318]"
131,33.33,"[1089, 4226, 858]","[908, 47, 111, 1617, 50, 2871]"
132,19.05,"[6874, 50, 47, 2959]","[4641, 1729, 899, 2657, 261, 8969, 2858, 364, 8973, 6863, 1968, 595, 4308, 4246, 6711, 1464, 30749]"
133,0.0,[],"[32, 318, 47]"
134,16.67,[47],"[454, 110, 153, 442, 509]"
