userId,porcentagem_coberta,filmes_apareceram,filmes_nao_apareceram
27,80.77,"[2565, 648, 1276, 3350, 2080, 34, 3114, 1196, 1197, 2094, 48, 1584, 2100, 2628, 590, 595, 986, 2529, 3681, 3836, 1148]","[2, 1287, 969, 1015, 3448]"
28,71.43,"[260, 70286, 4878, 7438, 5010, 7458, 293, 60069, 72998, 296, 1196, 38061, 7481, 2105, 8644, 3272, 590, 858, 3300, 2021, 2278, 34405, 1256, 26614, 4223]","[1249, 53123, 60389, 60684, 54286, 55118, 36529, 3250, 1266, 8950]"
29,71.43,"[1250, 48516, 48774, 4327, 1224, 87306, 2028, 1136, 5010, 150, 5464, 1945, 1242, 953, 924]","[165, 98961, 51540, 82459, 316, 2301]"
30,80.0,"[5952, 33794, 260, 93510, 110, 7153, 95510, 122904]","[96821, 318]"
31,50.0,"[7, 648, 1353, 1196, 1197, 1356]","[736, 1, 10, 1361, 1073, 733]"
32,61.11,"[100, 7, 296, 1036, 141, 1196, 592, 852, 25, 538, 539]","[194, 1197, 1198, 912, 21, 314, 318]"
33,63.33,"[1923, 261, 17, 21, 28, 1056, 1060, 1446, 337, 339, 345, 2396, 1885, 223, 608, 613, 1641, 497, 507]","[1888, 1059, 232, 1673, 715, 2539, 1358, 2542, 1393, 1653, 475]"
34,53.33,"[6721, 4643, 3717, 3624, 27193, 6711, 27801, 6618]","[356, 10, 44974, 4720, 3000, 318, 4447]"
35,83.33,"[261, 11, 300, 21, 252]",[50]
36,33.33,[1234],"[318, 1262]"
37,50.0,"[593, 165, 231]","[457, 150, 590]"
38,66.67,"[551, 11, 300, 590, 110, 246]","[50, 318, 527]"
39,54.55,"[2529, 260, 296, 1258, 2571, 1196, 1198, 1584, 50, 1270, 2391, 858]","[1248, 1729, 610, 3911, 745, 1610, 2987, 1197, 2997, 3000]"
40,80.95,"[1, 609, 327, 265, 266, 203, 173, 685, 431, 272, 205, 110, 111, 371, 21, 317, 318]","[440, 17, 610, 107]"
41,60.0,"[6016, 116897, 4226, 7361, 293, 357, 296, 128360, 2858, 5995, 7438, 2959, 66097, 118900, 67255, 61240, 49530, 4027]","[46723, 92259, 1258, 4235, 1259, 6287, 46578, 8949, 2712, 1721, 96829, 89759]"
42,50.0,"[3, 260, 10, 144, 150, 3098, 1191, 1704, 1580, 2605, 1968, 1457, 4022, 3256, 1722, 1466, 2490, 1597, 4034, 2371, 4293, 1608, 2000, 2771, 468, 2906, 1246, 4321, 356, 2918, 1127, 2791, 2671, 3441, 381, 1270, 3448, 2683, 253]","[1027, 1673, 11, 1036, 2194, 3100, 4509, 2335, 1060, 4516, 3752, 3753, 1961, 3755, 3120, 2352, 3257, 3259, 4027, 4541, 2497, 2115, 2502, 2763, 590, 593, 597, 2146, 4322, 1124, 2915, 364, 110, 1265, 1393, 3450, 507, 252, 509]"
43,71.88,"[1, 5, 519, 520, 532, 661, 158, 165, 47, 48, 432, 434, 57, 316, 317, 711, 1356, 592, 594, 355, 362, 238, 253]","[256, 161, 3, 356, 648, 590, 1105, 435, 318]"
44,66.67,"[737, 805, 1639, 1552, 852, 94]","[18, 36, 1517]"
45,56.79,"[1, 1282, 260, 6, 2694, 2311, 51080, 1035, 2700, 6539, 2959, 19, 2324, 1431, 1688, 2083, 292, 1573, 2087, 3752, 3753, 296, 1407, 1196, 2987, 2096, 4034, 588, 589, 3534, 3536, 3793, 4306, 1246, 4958, 4963, 1127, 5481, 107, 364, 110, 4974, 1136, 368, 1396, 2687]","[1921, 1923, 7173, 1029, 1033, 778, 33679, 784, 5500, 2329, 552, 1704, 1961, 1584, 3253, 3254, 1591, 50872, 1721, 2997, 3510, 2504, 4299, 2771, 2528, 2791, 6377, 1258, 2797, 2541, 367, 112, 3196, 765, 5502]"
46,66.67,"[32, 454, 457, 236, 50, 253]","[434, 1, 266]"
47,33.33,"[5108, 63082, 112804, 318]","[72641, 356, 5669, 3844, 391, 140715, 69712, 117881]"
48,77.78,"[2115, 1320, 653, 5903, 8371, 1690, 5882]","[48, 2081]"
49,28.57,"[5218, 168252]","[356, 6377, 110, 47099, 318]"
50,58.33,"[7396, 7748, 296, 1199, 1201, 1274, 541]","[2019, 111, 1136, 2160, 7700]"
51,47.62,"[4865, 5505, 260, 2183, 7, 2951, 924, 3363, 8874, 1196, 1200, 1201, 953, 5568, 1479, 2375, 2762, 1999, 593, 339, 1748, 1373, 3421, 3814, 7147, 1391, 54001, 1267, 4855, 1784]","[2, 3, 1674, 2194, 2978, 4002, 34338, 4014, 56367, 3763, 2615, 5816, 3388, 316, 4034, 2374, 2248, 589, 8784, 849, 2391, 7000, 6873, 2015, 610, 3683, 2664, 1257, 4713, 52973, 2033, 1272, 3070]"
52,52.78,"[8961, 260, 54286, 57368, 44191, 293, 110501, 5418, 73017, 76093, 57669, 134853, 74458, 134368, 54503, 52973, 49272, 44665, 49530]","[46976, 1923, 5669, 1704, 63113, 112138, 96811, 5064, 63082, 64620, 31696, 134130, 49651, 150, 1784, 30749, 58559]"
53,33.33,"[1100, 1125]","[1256, 249, 203, 381]"
55,50.0,"[2542, 54286]","[1275, 1293]"
56,100.0,"[225, 292, 231, 457, 10, 11, 364, 19, 380]",[]
57,70.83,"[1, 260, 1285, 1284, 2311, 3334, 2571, 908, 911, 912, 1429, 32, 1953, 2081, 3494, 2087, 940, 3500, 942, 1200, 1201, 1204, 2102, 1080, 3256, 3643, 1223, 329, 1226, 2761, 2762, 1101, 592, 594, 1234, 2770, 3030, 3671, 3032, 480, 1376, 2529, 3681, 1254, 1127, 235, 1643, 750, 1653, 2935, 2300]","[1283, 1670, 778, 781, 1939, 3479, 1954, 50, 951, 2490, 457, 593, 3044, 3175, 1256, 2921, 2922, 494, 1391, 1265, 2297]"
58,61.9,"[165, 7, 265, 364, 333, 589, 367, 497, 594, 595, 277, 508, 318]","[480, 161, 261, 5, 327, 368, 21, 150]"
59,59.26,"[2944, 3461, 3462, 647, 648, 105, 1610, 2028, 3471, 913, 1233, 1617, 1244, 922, 924, 1183]","[1953, 1188, 1573, 2726, 2020, 41, 2763, 111, 1151, 733, 1247]"
60,50.0,"[3424, 58559, 527]","[6016, 362, 318]"
61,72.73,"[32, 4993, 4226, 4878, 16, 50, 30707, 27831]","[1208, 1201, 1090]"
62,70.24,"[166528, 4993, 2, 48516, 53125, 6, 166534, 2571, 527, 89745, 67734, 6934, 2329, 122912, 136864, 116897, 122916, 122918, 72998, 1704, 83369, 38061, 103341, 47, 109487, 81845, 104374, 5816, 84152, 1210, 73017, 8636, 116797, 58559, 8641, 71106, 1221, 175303, 30793, 32587, 2124, 593, 8914, 164179, 112852, 136020, 116823, 103772, 41566, 4963, 114662, 3949, 40815, 7153, 52722, 176371, 139385, 52604, 5630]","[97921, 48385, 3969, 48394, 56587, 5903, 1682, 89492, 1203, 96821, 56757, 108729, 1721, 96829, 109374, 64957, 64969, 586, 113741, 31696, 176601, 88163, 7143, 3948, 4973]"
63,62.22,"[27904, 1, 1282, 108932, 6539, 527, 913, 86290, 110102, 2329, 85414, 3751, 5418, 31658, 1198, 47, 51255, 32587, 588, 6350, 92494, 53972, 68954, 6502, 1262, 71535, 1270, 92535]","[54272, 5218, 2692, 69481, 2542, 111759, 912, 1201, 5010, 50, 1202, 81845, 3535, 367, 95858, 3481, 953]"
64,53.01,"[4993, 6659, 6, 42632, 4235, 6539, 2959, 16, 2324, 919, 3481, 3994, 3996, 3114, 8874, 6188, 8622, 1208, 8376, 1345, 1092, 5956, 1094, 1096, 3147, 588, 589, 1228, 32587, 8917, 858, 2140, 357, 231, 364, 111, 1263, 7153, 4980, 8950, 7160, 7162, 2683, 253]","[1, 2692, 31878, 1673, 908, 8464, 1682, 33683, 4246, 2329, 1947, 4380, 2080, 4002, 1961, 3499, 1967, 2355, 1204, 6711, 1207, 2871, 1348, 5445, 6214, 587, 2124, 3148, 1358, 2908, 3421, 2657, 1250, 1641, 365, 5617, 46578, 4979, 5502]"
65,77.78,"[109487, 527, 36529, 91542, 33660, 318, 44191]","[97752, 1246]"
66,48.0,"[1, 4993, 1284, 5, 903, 2956, 1275, 18, 4886, 3098, 7069, 541, 805, 8874, 5548, 1200, 1968, 1080, 7482, 4027, 6333, 7493, 1224, 4306, 1748, 1240, 1242, 6874, 1500, 8798, 2019, 2918, 6377, 2288, 2683, 1407]","[3072, 3074, 6786, 2951, 2312, 7048, 2700, 6287, 529, 535, 282, 5023, 799, 1704, 1449, 1197, 6832, 1073, 1201, 7090, 1079, 3262, 5574, 3271, 3911, 208, 8784, 2648, 7647, 224, 2401, 3809, 4322, 2020, 1769, 4465, 1266, 5617, 3444]"
67,77.78,"[293, 296, 2571, 2959, 27193, 68157, 8605]","[2858, 318]"
68,49.06,"[46976, 4226, 260, 10, 266, 1291, 4239, 89745, 69524, 89492, 55830, 4246, 4886, 79132, 2081, 67618, 60069, 3623, 72489, 5418, 7346, 51255, 50872, 1722, 168252, 8636, 7360, 5313, 5952, 8641, 51662, 6863, 4816, 96079, 79702, 116823, 26712, 27611, 3552, 62434, 5349, 119145, 3948, 62956, 1777, 54001, 56949, 26614, 2423, 97913, 3578, 1278]","[95875, 6, 520, 11, 81932, 6155, 527, 912, 69784, 117529, 4890, 6939, 920, 3101, 44709, 44199, 1704, 2858, 2478, 3253, 3254, 6711, 67255, 2491, 56251, 68157, 83134, 7361, 72641, 3911, 2763, 72011, 3916, 590, 8784, 208, 39381, 2006, 858, 47970, 2791, 88810, 5995, 53996, 2028, 34542, 78703, 1393, 54259, 81910, 44665, 35836, 69757, 47999]"
69,76.92,"[260, 296, 1193, 2476, 3793, 50, 3827, 3994, 924, 1917]","[4880, 1721, 1101]"
70,50.0,"[1959, 1097, 1962, 63082, 3468, 1968, 1172, 1272, 69757]","[36, 1288, 1193, 55820, 1293, 3730, 150, 3543, 246]"
71,66.67,"[801, 802, 788, 86]","[1, 62]"
72,58.33,"[32, 457, 589, 47, 527, 50, 1210]","[1216, 2634, 2858, 4973, 1198]"
73,63.89,"[1, 68358, 112138, 6539, 89745, 89492, 924, 44193, 112556, 102445, 59315, 51255, 45499, 3793, 112852, 68954, 6874, 68319, 134368, 127202, 103141, 91500, 59258]","[3969, 78499, 45221, 134853, 79592, 1193, 60684, 80463, 102481, 51540, 52245, 3671, 6936]"
74,57.78,"[6016, 48516, 8838, 4103, 903, 41863, 3083, 8207, 3089, 2076, 1193, 2300, 1206, 1208, 5304, 57147, 6852, 55118, 858, 6235, 5341, 1251, 1252, 6244, 111, 39292]","[6787, 6791, 48394, 47629, 39183, 923, 3996, 55069, 5434, 58, 194, 3019, 56782, 8804, 52967, 3949, 1263, 2160, 58103]"
75,58.33,"[260, 8360, 7153, 1240, 3034, 541, 1214]","[8961, 2467, 168, 1234, 2078]"
76,86.67,"[288, 72129, 260, 2502, 296, 2762, 2571, 33004, 33493, 1206, 1213, 74458, 68157]","[1208, 31410]"
77,66.67,"[5952, 1196, 260, 5816]","[6539, 1198]"
78,66.67,"[1198, 1270, 150, 1240, 3868, 3869]","[296, 1, 8528]"
79,61.11,"[164, 1189, 6, 1191, 1127, 1220, 1221, 1222, 2571, 2916, 3576]","[3425, 1954, 3266, 2692, 1610, 246, 1912]"
80,82.98,"[34048, 4226, 33794, 48516, 53000, 103688, 48394, 2571, 5388, 7438, 2959, 96917, 150, 32, 90405, 72998, 4776, 8361, 6059, 50, 6323, 59315, 96691, 81591, 58559, 80831, 1221, 96079, 103249, 74458, 6365, 51935, 5349, 91500, 71535, 82041, 47610, 52604, 89470]","[59369, 1258, 2763, 34319, 5103, 4720, 7445, 1302]"
81,100.0,"[32, 329, 316]",[]
82,83.33,"[4993, 1923, 2700, 780, 1036, 2701, 5900, 145, 6156, 6687, 163, 6564, 1573, 1580, 4015, 6595, 110, 4084, 2683, 6014]","[4018, 733, 5218, 4989]"
83,60.0,"[1282, 4226, 356, 72998, 1258, 110, 4310, 79132, 1246]","[27397, 4973, 7669, 40629, 68954, 318]"
84,54.9,"[1280, 898, 1028, 6, 647, 265, 266, 11, 1035, 14, 1304, 920, 922, 1307, 412, 1189, 55, 1210, 1219, 324, 838, 214, 342, 1246, 508, 628, 1276, 381]","[1288, 272, 919, 1186, 1193, 52, 955, 62, 1343, 1217, 195, 1101, 334, 1103, 1104, 858, 223, 608, 1247, 1258, 500, 377, 509]"
85,55.56,"[1730, 515, 1357, 1747, 1719]","[1449, 314, 53, 1446]"
86,62.5,"[1, 4993, 7361, 260, 165, 33794, 2762, 5418, 95510, 1210]","[4963, 1097, 2858, 1196, 33679, 2805]"
87,16.67,[671],"[262, 4973, 5618, 5971, 531]"
88,80.0,"[5952, 5989, 5418, 3275, 2542, 16, 50, 3476, 8950, 79132, 68157, 44191]","[46578, 74795, 223]"
89,48.0,"[898, 78469, 140561, 182293, 182297, 136355, 136359, 104875, 78637, 85295, 67888, 44851, 8372, 50999, 50872, 68793, 136503, 153408, 33090, 105540, 181065, 129354, 73042, 130518, 96608, 141928, 120813, 750, 118894, 126577, 5621, 133879, 156025, 91386, 146684, 72701]","[164226, 34312, 126088, 6156, 91666, 105746, 130452, 3991, 5529, 150554, 46105, 78620, 25887, 84512, 33830, 96935, 111146, 146986, 132800, 26183, 141513, 4300, 84944, 116817, 147410, 91355, 51167, 95843, 113252, 164707, 104, 44777, 164200, 133867, 3948, 119155, 72692, 124404, 66943]"
90,91.67,"[260, 7, 14, 17, 562, 818, 116, 1137, 984, 892, 1183]",[1144]
91,56.94,"[2944, 1, 4993, 1527, 6, 7438, 3471, 16, 3727, 5903, 6807, 3996, 163, 4645, 1196, 5165, 2174, 1213, 1214, 1215, 5952, 7360, 1347, 2628, 1610, 3018, 7387, 1249, 610, 6242, 2916, 3300, 5349, 1258, 1261, 111, 2160, 2288, 3703, 3708, 3070]","[1408, 2692, 8581, 648, 3081, 1036, 2700, 912, 4626, 923, 3868, 1954, 6820, 1193, 1321, 172, 1967, 8501, 1974, 2871, 1337, 457, 3917, 464, 606, 480, 4448, 6755, 3429, 8426, 1148]"
92,33.33,"[107, 51662]","[3168, 35836, 837, 1015]"
93,74.07,"[2, 258, 10, 1562, 2424, 168, 1580, 173, 558, 1097, 588, 849, 362, 367, 2161, 1779, 2167, 1784, 1917, 2431]","[357, 590, 15, 1552, 1049, 2396, 2105]"
94,83.33,"[32, 2, 329, 457, 364]",[34]
95,59.52,"[6016, 2571, 6796, 1175, 25, 541, 32, 4262, 1196, 1584, 8633, 8636, 5956, 5445, 8644, 589, 6863, 2640, 1617, 1240, 3033, 5464, 2021, 2023, 1653]","[5952, 3361, 608, 5027, 2692, 1094, 5418, 4235, 1228, 2028, 4979, 5015, 6873, 3071, 29, 4126, 1247]"
96,50.0,"[480, 1, 1097, 1198, 1617, 50, 2353, 3256, 3578]","[34, 1188, 454, 1610, 1387, 2289, 434, 2294, 3418]"
97,66.67,"[3717, 3623, 4367, 3793, 4306, 377]","[593, 4386, 858]"
98,61.9,"[122912, 1, 1219, 356, 177765, 187593, 1258, 593, 5618, 187541, 81847, 56152, 81564]","[4995, 5444, 55267, 1704, 53993, 81845, 117176, 116797]"
99,100.0,"[416, 225, 292, 293, 231, 10, 555, 236, 22, 23, 282, 380]",[]
100,45.45,"[899, 1028, 934, 838, 1290, 237, 16, 17, 1680, 1777, 4308, 2291, 2262, 539, 1307]","[4161, 261, 2329, 6183, 648, 6377, 234, 1035, 11, 6059, 1678, 3244, 4246, 537, 3098, 3259, 508, 1278]"
101,66.67,"[3203, 2599, 2600, 2762, 2858, 2580, 3285, 2908]","[233, 3219, 1093, 223]"
102,66.67,"[457, 474, 454, 47]","[3, 223]"
103,57.33,"[6016, 1, 2, 1025, 1028, 5, 4226, 4993, 33794, 53125, 61323, 1293, 2959, 661, 1688, 410, 1179, 79132, 1704, 6440, 99114, 140715, 6957, 1968, 2231, 73017, 4027, 1089, 5956, 1228, 1230, 596, 3668, 60756, 3034, 1244, 608, 37729, 2411, 4973, 2291, 105844, 2423]","[34437, 1291, 2194, 5010, 89492, 148626, 1693, 1193, 89774, 4019, 2997, 50872, 7361, 1348, 2501, 1994, 3535, 55247, 337, 96728, 62553, 3552, 134881, 356, 104, 2028, 110, 111, 7153, 79091, 1012, 89470]"
104,64.1,"[8961, 5380, 2572, 47629, 2581, 539, 1566, 31, 1569, 39, 8368, 5299, 81847, 588, 594, 4306, 8533, 3034, 6367, 1380, 3175, 60397, 1136, 2424, 1022]","[105, 6377, 56171, 56367, 89904, 914, 6579, 4308, 46578, 3060, 89753, 5500, 47997, 4447]"
105,42.26,"[4865, 147330, 111622, 102407, 140038, 112006, 45447, 81932, 53519, 16, 150548, 107412, 6934, 91542, 130970, 79132, 130976, 172577, 116897, 5026, 4262, 134184, 4776, 8360, 173355, 3629, 4270, 104879, 178613, 84152, 73017, 163386, 116411, 45499, 116797, 5952, 53953, 1219, 5956, 1221, 175431, 53322, 101962, 2762, 3275, 6350, 86347, 104913, 4306, 74324, 69844, 151769, 6874, 83803, 6365, 101088, 92259, 86628, 26340, 140265, 50794, 65514, 146028, 129514, 750, 56174, 5618, 79091, 49272, 49278, 1407]","[5120, 8197, 6, 3592, 91658, 36363, 97304, 134170, 3623, 172583, 47, 5679, 112183, 145994, 2131, 163925, 63062, 63082, 134252, 95858, 105593, 27773, 69757, 26237, 3198, 97921, 70286, 95377, 120466, 7317, 143511, 73881, 27803, 120478, 7327, 27815, 1193, 1198, 1199, 36529, 7347, 4788, 67255, 6333, 1214, 714, 32460, 3285, 1247, 171749, 1258, 1259, 26347, 8957, 8958, 778, 8970, 34072, 2329, 2843, 6942, 173351, 2858, 2351, 120625, 306, 307, 308, 163645, 1354, 32587, 3916, 175435, 5971, 8033, 3949, 3967, 62849, 107408, 107410, 915, 5014, 922, 923, 1446, 95654, 56757, 31685, 45517, 56782, 97752, 173535, 64993, 79333, 86504, 5617, 141810]"
106,44.44,"[45722, 2571, 53125, 88125]","[97938, 99636, 2617, 47099, 318]"
107,66.67,"[160, 161, 2, 5, 432, 380]","[1, 150, 590]"
108,50.0,"[4992, 6049, 5380, 5349, 1097, 4975, 4976, 5391]","[3978, 82, 3795, 1204, 1079, 2585, 156, 25]"
109,88.89,"[288, 553, 11, 555, 14, 175, 16, 249]",[592]
110,77.78,"[1222, 296, 3629, 47, 111, 4881, 1276]","[1208, 3949]"
111,58.97,"[122882, 157699, 93443, 4995, 49286, 128520, 168846, 16, 145, 128914, 91542, 122904, 104218, 106782, 170399, 155812, 122918, 162344, 180265, 99114, 81834, 6188, 161580, 140715, 166461, 58559, 65088, 8641, 176329, 3275, 2124, 81229, 115149, 142422, 130520, 166492, 104925, 100194, 4963, 1895, 167018, 161131, 157296, 49396, 170357, 58998]","[59143, 45447, 6155, 48780, 2701, 2718, 85022, 100390, 39, 2858, 3882, 74154, 113453, 91323, 1856, 837, 64839, 719, 8528, 112852, 144606, 179427, 44004, 3301, 8807, 72167, 6003, 40819, 71668, 63479, 1020, 4989]"
112,69.23,"[4993, 260, 6, 109487, 16, 7153, 1270, 1210, 253]","[288, 19, 5952, 1198]"
113,75.86,"[260, 2184, 1944, 2331, 4126, 3359, 1183, 1569, 1955, 932, 933, 1193, 2475, 1357, 1230, 3668, 3675, 222, 3551, 3296, 111, 1912]","[838, 943, 3251, 4083, 597, 858, 1564]"
114,50.0,"[4896, 141718]","[3147, 2291]"
115,54.17,"[32, 196, 3753, 3273, 3785, 588, 1200, 2321, 1617, 3793, 2804, 1208, 2841]","[3264, 2273, 2148, 3301, 1222, 487, 553, 1610, 1580, 2867, 21]"
116,50.0,"[161, 1380, 2406, 1387, 2605, 339]","[160, 736, 2724, 590, 597, 1339]"
117,55.56,"[480, 7, 296, 745, 586, 11, 491, 588, 783, 497]","[224, 587, 300, 141, 719, 21, 150, 318]"
118,50.0,"[296, 590, 527]","[1625, 1961, 1810]"
119,57.41,"[69122, 4995, 48516, 131714, 48774, 157699, 59784, 91529, 70286, 4369, 5010, 148626, 101142, 106782, 293, 60069, 88744, 170, 99114, 1580, 1092, 134853, 32587, 81229, 33615, 112868, 114662, 59369, 119145, 49272, 117887]","[10, 6539, 4367, 142488, 117533, 106918, 112552, 81845, 31685, 5064, 3147, 3275, 80463, 102481, 68954, 6377, 6378, 135532, 1270, 4344, 106491, 3452, 89087]"
120,66.67,"[608, 260]",[5]
121,71.43,"[1, 6, 296, 11, 237]","[288, 780]"
122,57.14,"[78209, 260, 34437, 48774, 4874, 27660, 68237, 107406, 93840, 4886, 117529, 134170, 106782, 32, 292, 60069, 106920, 3114, 99114, 47, 4148, 1080, 1208, 1210, 4027, 1213, 116799, 1732, 93510, 86347, 589, 3535, 592, 55247, 54995, 77561, 68954, 7387, 76251, 2012, 5989, 55269, 101864, 86377, 1270, 49272, 139385, 1275]","[2, 69122, 2692, 4873, 48780, 41997, 60684, 39183, 3089, 1682, 2710, 101142, 923, 2076, 288, 5673, 555, 3499, 4016, 1073, 5810, 86833, 27706, 1729, 2761, 3020, 7373, 144976, 8917, 94677, 3671, 119145, 7022, 2160, 1265, 59387]"
123,86.67,"[68157, 260, 44199, 296, 4776, 68554, 47, 89745, 115569, 116797, 91542, 69306, 96829]","[143458, 4886]"
124,75.0,"[4226, 1092, 5608, 1961, 1196, 50, 2329, 1210, 2683]","[1, 4995, 175]"
125,50.0,"[53125, 42632, 111113, 4878, 2959, 27022, 70286, 93840, 100882, 152081, 116897, 110882, 72998, 60072, 103341, 161582, 96829, 76093, 1215, 88129, 1221, 93510, 589, 2387, 7254, 142422, 1240, 97752, 68954, 115680, 128360, 3052, 52973, 7022, 67695, 101112]","[2, 4995, 3083, 142222, 2321, 97938, 152083, 60950, 92694, 152091, 115617, 44195, 555, 44974, 54190, 161966, 9010, 1844, 159415, 26680, 168250, 87869, 86721, 168266, 208, 593, 75985, 60756, 7008, 127202, 128620, 110, 4979, 171763, 142456, 110330]"
126,83.33,"[110, 47, 367, 377, 380]",[150]
127,0.0,[],"[913, 910, 55276, 1276]"
128,100.0,"[260, 935, 1196, 1198, 110, 1136, 593, 923, 926]",[]
129,60.0,"[4993, 45186, 3745, 2858, 31658, 1196, 1197, 7438, 32587, 1101, 208, 3793, 7153, 1907, 2105, 6333, 41566, 44191]","[4963, 2916, 7143, 6218, 2890, 2028, 6093, 33166, 110, 239, 5010, 3698]"
130,83.33,"[110, 339, 344, 153, 318]",[150]
131,88.89,"[1089, 4226, 908, 47, 111, 1617, 50, 858]",[2871]
132,52.38,"[1729, 899, 2858, 47, 2959, 6863, 50, 595, 4308, 1464, 6874]","[4641, 2657, 261, 8969, 364, 8973, 1968, 4246, 6711, 30749]"
133,100.0,"[32, 318, 47]",[]
134,83.33,"[454, 110, 47, 153, 442]",[509]
